run,wafer,pattern,site1,site2,site3,site4,site5,site6,site7,site8,site9,sitemn
1,1,I,460.16,447.39,450.88,455.15,460.61,424.45,422.03,418.15,540.14,453.22
1,2,I,439.83,429.81,433.85,431.40,434.14,416.36,412.58,404.41,526.40,436.53
1,3,I,456.15,447.26,448.95,466.72,456.43,435.18,432.24,419.77,541.76,456.05
1,4,I,456.60,438.24,439.99,471.22,461.56,407.55,436.78,418.26,540.25,452.27
1,5,I,436.97,431.17,432.52,427.40,432.33,431.47,442.80,431.00,552.99,446.52
1,6,I,449.53,438.45,442.58,442.92,448.34,426.76,413.68,410.85,532.84,445.11
2,1,II,457.23,443.92,448.28,441.67,452.82,472.09,436.04,426.16,548.15,458.48
2,2,II,470.83,456.79,455.85,454.22,470.79,459.14,436.73,439.60,561.59,467.28
2,3,II,442.43,435.27,433.57,425.25,435.33,466.33,427.90,425.62,547.61,448.81
2,4,II,449.30,439.20,437.23,430.60,447.26,466.39,425.27,427.35,549.34,452.44
2,5,II,466.91,445.31,453.25,453.66,465.56,449.53,437.08,425.37,547.36,460.45
2,6,II,448.57,437.24,439.14,432.10,440.33,466.31,434.04,428.55,550.54,452.98
3,1,III,453.76,440.47,437.79,437.70,449.69,441.00,413.10,412.47,534.46,446.72
3,2,III,423.63,415.44,408.46,406.69,420.97,440.85,402.69,408.50,530.49,428.64
3,3,III,434.05,421.79,423.94,420.48,430.78,450.34,408.32,408.12,530.11,436.44
3,4,III,434.45,411.49,412.30,426.79,439.63,402.19,401.43,400.39,522.38,427.89
3,5,III,408.08,393.16,388.74,395.86,410.63,418.39,391.57,395.40,517.39,413.25
3,6,III,424.74,408.16,406.29,413.09,427.89,430.66,395.03,402.60,524.59,425.89
4,1,I,409.37,388.88,382.68,403.00,421.32,410.25,395.08,399.64,521.63,414.65
4,2,I,455.26,442.22,439.24,440.39,456.13,465.31,423.71,430.54,552.53,456.15
4,3,I,466.49,454.07,454.43,449.12,463.70,458.58,430.58,429.95,551.94,462.10
4,4,I,438.96,431.01,428.44,420.48,431.45,458.22,422.34,421.06,543.05,443.89
4,5,I,451.21,437.87,439.21,436.52,446.27,467.13,427.85,421.77,543.76,452.40
4,6,I,460.66,447.26,444.78,445.90,460.09,447.16,424.65,425.72,547.71,455.99
5,1,II,450.28,436.81,435.19,437.45,449.49,458.66,424.23,423.80,545.79,451.30
5,2,II,469.51,454.39,454.21,453.73,468.87,454.16,433.71,432.79,554.78,464.02
5,3,II,443.06,433.99,433.23,426.95,437.74,459.74,424.25,423.92,545.91,447.64
5,4,II,447.87,437.14,437.37,431.31,445.13,463.93,420.32,422.11,544.10,449.92
5,5,II,455.42,431.01,433.68,446.35,460.57,424.25,419.87,417.79,539.78,447.64
5,6,II,446.11,433.99,436.46,431.59,438.47,459.22,434.09,425.31,547.30,450.28
6,1,III,453.58,441.23,442.35,438.22,449.69,444.59,422.58,413.36,535.35,448.99
6,2,III,428.21,418.89,417.82,411.84,423.67,439.84,410.29,409.62,531.61,432.42
6,3,III,435.41,422.95,425.73,422.40,432.33,444.84,411.50,410.20,532.19,437.51
6,4,III,432.68,411.32,408.23,422.85,440.19,397.35,394.79,401.79,523.78,425.89
6,5,III,422.87,408.09,408.95,409.15,419.57,428.41,405.69,402.16,524.15,425.45
6,6,III,427.71,412.43,413.25,416.71,428.38,428.66,403.82,405.09,527.08,429.24
7,1,I,419.41,396.58,398.92,416.20,423.44,419.09,411.57,401.48,523.47,423.35
7,2,I,451.40,438.57,437.69,438.40,451.59,460.70,425.62,427.89,549.88,453.53
7,3,I,456.74,434.77,434.08,445.41,461.72,426.24,415.75,420.15,542.14,448.56
7,4,I,436.10,428.13,427.64,419.92,428.88,454.64,422.33,418.94,540.93,441.95
7,5,I,448.87,434.43,438.12,436.15,445.20,460.83,425.05,417.47,539.46,449.51
7,6,I,439.90,417.38,417.34,433.81,446.78,407.91,410.07,409.92,531.91,435.00
8,1,II,451.48,438.74,440.79,438.64,448.87,463.80,426.19,421.95,543.94,452.71
8,2,II,467.23,452.98,452.83,451.61,466.86,451.09,434.68,432.84,554.83,462.77
8,3,II,442.40,432.09,432.57,425.85,435.51,458.46,426.57,423.60,545.59,446.96
8,4,II,448.61,438.08,437.87,430.95,446.14,462.84,422.85,423.34,545.33,450.67
8,5,II,452.86,430.06,432.19,443.71,457.99,424.06,422.62,416.44,538.43,446.48
8,6,II,446.99,434.48,436.50,431.85,439.92,457.71,428.74,423.54,545.53,449.47
9,1,III,454.02,442.57,441.84,438.27,450.19,446.09,416.40,412.61,534.60,448.51
9,2,III,424.12,416.76,410.39,407.39,421.68,439.15,405.34,407.77,529.76,429.15
9,3,III,433.53,420.87,423.03,419.72,430.83,444.68,409.57,407.97,529.96,435.57
9,4,III,407.96,383.92,374.85,401.60,426.62,368.74,370.29,388.05,510.04,403.56
9,5,III,407.11,394.47,387.60,392.76,409.91,415.10,391.87,396.26,518.25,412.59
9,6,III,432.33,419.27,421.78,419.05,430.39,444.88,409.74,407.16,529.15,434.86
10,1,I,419.73,405.42,401.58,410.35,423.87,423.89,411.68,407.60,529.59,425.97
10,2,I,451.56,438.54,436.65,437.23,451.87,462.06,431.84,424.10,546.09,453.33
10,3,I,454.67,438.82,433.25,440.42,457.59,434.81,425.93,420.32,542.31,449.79
10,4,I,435.07,427.33,426.45,419.96,428.33,455.38,427.60,415.97,537.96,441.56
10,5,I,430.08,416.52,414.32,419.85,434.43,441.41,414.21,414.31,536.30,435.71
10,6,I,453.37,440.27,431.32,436.97,455.77,432.84,420.88,418.57,540.56,447.84
11,1,II,445.40,434.06,434.07,431.46,441.61,460.05,421.40,415.81,537.80,446.85
11,2,II,464.43,451.07,451.52,448.25,463.86,452.19,428.79,429.56,551.55,460.14
11,3,II,436.88,428.89,425.95,420.75,431.48,454.44,418.88,418.40,540.39,441.78
11,4,II,442.76,432.24,431.79,425.27,438.42,458.06,416.98,417.92,539.91,444.82
11,5,II,455.43,433.64,439.23,442.47,455.42,434.10,421.60,412.56,534.55,447.67
11,6,II,439.98,429.63,431.32,425.80,431.36,455.24,433.28,417.11,539.10,444.76
12,1,III,452.88,440.74,443.07,436.60,447.33,448.51,419.84,417.48,539.47,449.55
12,2,III,425.98,419.16,414.99,410.44,422.83,441.64,410.13,414.23,536.22,432.85
12,3,III,433.65,422.83,424.58,420.91,429.97,447.96,412.04,412.82,534.81,437.73
12,4,III,432.24,415.69,412.53,423.39,438.86,409.75,401.69,408.61,530.60,430.37
12,5,III,422.51,411.27,410.54,409.67,418.82,432.81,410.09,406.98,528.97,427.96
12,6,III,430.22,419.20,420.70,418.56,427.97,441.26,410.96,409.95,531.94,434.53
13,1,I,426.16,413.17,416.59,417.77,422.19,434.43,419.20,409.60,531.59,432.30
13,2,I,443.61,434.27,434.27,430.82,443.99,451.46,418.08,422.27,544.26,447.00
13,3,I,451.23,438.82,437.64,435.86,449.03,440.45,420.10,420.57,542.56,448.47
13,4,I,427.08,419.41,419.40,411.10,420.76,442.09,415.73,412.29,534.28,433.57
13,5,I,435.37,423.41,426.52,423.17,430.88,447.36,418.13,411.76,533.75,438.93
13,6,I,442.67,430.94,432.29,430.47,440.13,432.49,422.29,413.50,535.49,442.25
14,1,II,442.23,430.19,432.88,429.85,442.38,451.72,422.79,421.64,543.63,446.37
14,2,II,454.61,441.48,441.68,440.35,455.33,439.90,425.54,429.97,551.96,453.42
14,3,II,433.31,424.56,423.89,417.36,430.27,445.60,419.55,420.41,542.40,439.71
14,4,II,438.31,428.94,428.40,421.62,437.54,449.70,419.28,420.37,542.36,442.95
14,5,II,449.43,430.16,437.21,437.98,449.57,431.79,425.09,417.41,539.40,446.45
14,6,II,434.26,423.02,425.65,420.91,428.57,443.56,422.45,418.36,540.35,439.68
15,1,III,451.43,439.42,438.23,436.04,447.37,444.79,417.03,417.85,539.84,448.00
15,2,III,428.33,420.33,419.30,413.72,424.17,441.08,413.25,413.11,535.10,434.27
15,3,III,433.63,423.04,424.24,420.51,431.23,443.84,411.46,413.09,535.08,437.35
15,4,III,428.85,415.95,405.09,416.98,439.42,404.01,392.04,410.05,532.04,427.16
15,5,III,425.76,414.67,416.96,412.47,419.38,435.85,412.57,405.34,527.33,430.04
15,6,III,431.86,420.24,422.34,419.77,430.38,438.29,410.83,410.22,532.21,435.13
16,1,I,426.58,418.34,430.40,410.64,408.77,427.36,425.17,412.95,534.94,432.79
16,2,I,451.78,435.12,452.20,440.95,441.84,438.11,466.96,434.31,556.30,457.51
16,3,I,465.15,446.27,462.28,452.06,454.47,424.35,454.45,442.59,564.58,462.91
16,4,I,434.58,425.04,421.25,426.54,426.97,412.31,438.00,456.89,578.88,446.72
16,5,I,446.16,432.44,442.77,434.44,437.39,429.28,440.90,448.79,570.78,453.66
16,6,I,451.58,438.70,446.89,443.76,439.44,414.35,433.29,438.92,560.91,451.98
17,1,II,451.71,437.92,441.65,437.81,448.17,461.78,426.08,424.12,546.11,452.82
17,2,II,466.78,450.83,450.96,449.70,466.39,452.13,427.99,433.10,555.09,461.44
17,3,II,440.30,431.03,430.83,423.85,435.37,453.05,422.82,424.98,546.97,445.47
17,4,II,447.27,436.82,437.29,429.76,444.32,461.49,421.64,424.12,546.11,449.87
17,5,II,466.49,443.98,448.52,451.98,467.12,442.28,425.98,425.71,547.70,457.75
17,6,II,443.92,431.76,433.27,429.71,438.81,451.88,426.35,425.29,547.28,447.59
18,1,III,448.80,426.02,429.93,442.52,452.57,427.13,421.89,418.51,540.50,445.32
18,2,III,424.97,418.31,416.37,408.11,419.82,439.22,408.20,412.17,534.16,431.26
18,3,III,431.37,420.77,421.89,416.92,429.77,438.86,407.02,410.16,532.15,434.32
18,4,III,422.48,414.26,393.43,404.73,435.76,396.68,374.74,409.32,531.31,420.30
18,5,III,418.65,407.95,404.33,404.01,415.78,425.16,400.00,400.95,522.94,422.20
18,6,III,431.78,422.23,422.58,418.92,430.57,442.05,409.62,410.16,532.15,435.56
19,1,I,445.37,434.09,435.08,433.45,442.63,461.05,422.41,416.79,537.80,447.63
19,2,I,464.40,451.10,452.53,450.24,464.88,453.19,429.80,430.54,551.55,460.91
19,3,I,436.85,428.92,426.96,422.74,432.50,455.44,419.89,419.38,540.39,442.56
19,4,I,442.73,432.27,432.80,427.26,439.44,459.06,417.99,418.90,539.91,445.60
19,5,I,455.40,433.67,440.24,444.46,456.44,435.10,422.61,413.54,534.55,448.45
19,6,I,439.95,429.66,432.33,427.79,432.38,456.24,434.29,418.09,539.10,445.54
20,1,II,452.85,440.77,444.08,438.59,448.35,449.51,420.85,418.46,539.47,450.33
20,2,II,425.95,419.19,416.00,412.43,423.85,442.64,411.14,415.21,536.22,433.63
20,3,II,433.62,422.86,425.59,422.90,430.99,448.96,413.05,413.80,534.81,438.51
20,4,II,432.21,415.72,413.54,425.38,439.88,410.75,402.70,409.59,530.60,431.15
20,5,II,422.48,411.30,411.55,411.66,419.84,433.81,411.10,407.96,528.97,428.74
20,6,II,430.19,419.23,421.71,420.55,428.99,442.26,411.97,410.93,531.94,435.31
21,1,III,423.14,410.19,413.60,415.76,419.21,431.43,416.21,407.59,531.59,429.86
21,2,III,440.59,431.29,431.28,428.81,441.01,448.46,415.09,420.26,544.26,444.56
21,3,III,448.21,435.84,434.65,433.85,446.05,437.45,417.11,418.56,542.56,446.03
21,4,III,424.06,416.43,416.41,409.09,417.78,439.09,412.74,410.28,534.28,431.13
21,5,III,432.35,420.43,423.53,421.16,427.90,444.36,415.14,409.75,533.75,436.49
21,6,III,439.65,427.96,429.30,428.46,437.15,429.49,419.30,411.49,535.49,439.81
22,1,I,411.54,395.90,393.78,406.29,416.84,422.56,404.80,409.55,529.55,421.20
22,2,II,434.94,425.67,424.75,422.97,436.45,444.65,408.40,417.79,538.80,439.38
22,3,I,445.78,434.89,434.81,432.60,444.14,435.84,411.28,414.46,534.46,443.14
22,4,I,423.97,416.76,415.83,408.19,418.84,435.19,400.86,414.50,534.50,429.85
22,5,I,430.74,420.47,421.66,418.40,428.63,441.68,410.19,408.69,528.69,434.35
22,6,I,432.60,425.16,412.10,416.49,437.84,416.28,386.55,414.95,534.95,430.77
23,1,II,434.21,422.21,424.89,422.84,434.40,443.72,414.80,414.63,543.63,439.48
23,2,II,446.59,433.50,433.69,433.34,447.35,431.90,417.55,422.96,551.96,446.54
23,3,II,425.29,416.58,415.90,410.35,422.29,437.60,411.56,413.40,542.40,432.82
23,4,II,430.29,420.96,420.41,414.61,429.56,441.70,411.29,413.36,542.36,436.06
23,5,II,441.41,422.18,429.22,430.97,441.59,423.79,417.10,410.40,539.40,439.56
23,6,II,426.24,415.04,417.66,413.90,420.59,435.56,414.46,411.35,540.35,432.79
24,1,III,409.10,391.90,389.68,405.69,415.59,418.91,402.18,406.84,526.84,418.53
24,2,III,435.26,425.91,425.09,425.40,435.03,448.88,415.16,421.28,541.28,441.48
24,3,III,447.26,436.20,435.76,434.39,444.21,440.49,418.34,418.26,538.26,445.91
24,4,III,420.94,415.55,414.21,408.22,415.97,439.90,411.71,410.56,530.56,429.74
24,5,III,430.40,420.39,419.34,418.72,428.34,440.59,406.94,408.44,528.44,433.51
24,6,III,432.64,423.68,414.38,419.70,435.95,417.14,398.58,409.09,529.09,431.14
25,1,I,414.49,399.53,396.68,408.10,419.56,424.35,406.26,410.93,530.93,423.43
25,2,I,436.53,427.26,425.59,424.39,435.88,447.85,409.65,418.15,538.15,440.38
25,3,I,445.85,434.95,435.78,433.41,443.79,437.54,415.28,436.90,556.90,448.93
25,4,I,418.79,408.88,409.45,406.46,415.21,430.71,405.34,404.18,524.18,424.80
25,5,I,431.69,421.22,422.79,420.91,428.56,443.43,410.96,408.54,528.54,435.18
25,6,I,435.89,425.83,421.50,425.00,437.09,421.70,405.16,409.81,529.81,434.64
26,1,II,433.58,423.90,426.03,423.96,431.84,454.55,415.06,416.16,536.16,440.14
26,2,II,444.78,434.06,433.51,432.63,444.15,435.70,414.18,421.65,541.65,444.70
26,3,II,424.54,418.59,415.45,409.69,419.53,441.14,407.75,411.28,531.28,431.03
26,4,II,430.40,423.66,420.78,415.58,428.55,445.13,404.99,412.44,532.44,434.89
26,5,II,439.90,423.90,425.47,430.36,441.06,422.54,405.96,407.53,527.53,436.03
26,6,II,429.46,420.03,421.33,417.95,423.49,439.54,418.50,411.79,531.79,434.88
27,1,III,453.43,440.45,442.86,441.99,451.04,448.89,426.97,422.84,542.84,452.37
27,2,III,424.94,418.74,416.01,410.31,421.09,439.78,409.21,414.19,534.19,432.05
27,3,III,435.80,425.65,426.60,423.33,432.90,446.56,412.18,414.29,534.29,439.07
27,4,III,432.72,430.92,429.62,431.96,425.79,429.43,428.87,431.39,551.39,443.57
27,5,III,426.55,417.33,419.76,414.29,419.96,439.16,413.69,407.16,527.16,431.67
27,6,III,435.94,425.70,426.89,424.16,433.61,444.05,414.35,413.09,533.09,438.99
28,1,I,419.36,405.26,405.72,411.99,421.16,432.45,411.81,413.26,533.26,428.25
28,2,I,436.54,427.71,426.34,423.84,437.39,448.58,410.89,420.65,540.65,441.40
28,3,I,444.47,433.24,433.50,431.06,443.20,434.41,411.31,414.83,534.83,442.32
28,4,I,423.16,416.38,415.15,407.58,417.30,437.70,406.54,408.38,528.38,428.95
28,5,I,433.15,421.46,425.25,422.78,429.10,443.26,412.84,408.64,528.64,436.12
28,6,I,438.31,426.90,428.28,428.06,436.93,425.90,415.24,408.51,528.51,437.40
29,1,II,434.72,423.00,421.96,423.76,434.74,449.66,412.68,418.72,538.72,439.77
29,2,II,443.90,430.66,431.71,430.70,442.64,430.28,413.59,419.13,539.13,442.42
29,3,II,422.05,416.04,410.10,405.71,417.79,435.72,403.34,409.39,529.39,427.73
29,4,II,431.72,423.99,422.04,415.75,428.21,444.94,407.84,411.80,531.80,435.34
29,5,II,438.71,421.09,422.47,428.28,439.65,419.00,406.59,406.74,526.74,434.36
29,6,II,428.34,418.65,420.72,415.59,420.39,439.59,419.21,409.83,529.83,433.57
30,1,III,432.79,422.43,421.89,420.68,431.08,442.59,411.45,412.31,532.31,436.39
30,2,III,427.50,417.59,419.40,414.36,420.97,439.04,414.16,408.53,528.53,432.23
30,3,III,432.65,419.00,409.18,420.43,440.40,407.96,393.33,409.90,529.90,429.19
30,4,III,436.56,426.35,426.63,422.84,433.84,444.51,414.40,416.46,536.46,439.78
30,5,III,427.38,419.89,417.44,412.45,423.78,439.47,412.10,417.39,537.39,434.14
30,6,III,455.79,435.38,440.91,447.61,456.41,441.31,429.44,423.61,543.61,452.67