,run,wafer,site,value
826,18,5,site5,415.78
827,18,6,site5,430.57
828,19,1,site5,442.63
829,19,2,site5,464.88
830,19,3,site5,432.5
831,19,4,site5,439.44
832,19,5,site5,456.44
833,19,6,site5,432.38
834,20,1,site5,448.35
835,20,2,site5,423.85
836,20,3,site5,430.99
837,20,4,site5,439.88
838,20,5,site5,419.84
839,20,6,site5,428.99
840,21,1,site5,419.21
841,21,2,site5,441.01
842,21,3,site5,446.05
843,21,4,site5,417.78
844,21,5,site5,427.9
845,21,6,site5,437.15
846,22,1,site5,416.84
847,22,2,site5,436.45
848,22,3,site5,444.14
849,22,4,site5,418.84
850,22,5,site5,428.63
851,22,6,site5,437.84
852,23,1,site5,434.4
853,23,2,site5,447.35
854,23,3,site5,422.29
855,23,4,site5,429.56
856,23,5,site5,441.59
857,23,6,site5,420.59
858,24,1,site5,415.59
859,24,2,site5,435.03
860,24,3,site5,444.21
861,24,4,site5,415.97
862,24,5,site5,428.34
863,24,6,site5,435.95
864,25,1,site5,419.56
865,25,2,site5,435.88
866,25,3,site5,443.79
867,25,4,site5,415.21
868,25,5,site5,428.56
869,25,6,site5,437.09
870,26,1,site5,431.84
871,26,2,site5,444.15
872,26,3,site5,419.53
873,26,4,site5,428.55
874,26,5,site5,441.06
875,26,6,site5,423.49
876,27,1,site5,451.04
877,27,2,site5,421.09
878,27,3,site5,432.9
879,27,4,site5,425.79
880,27,5,site5,419.96
881,27,6,site5,433.61
882,28,1,site5,421.16
883,28,2,site5,437.39
884,28,3,site5,443.2
885,28,4,site5,417.3
886,28,5,site5,429.1
887,28,6,site5,436.93
888,29,1,site5,434.74
889,29,2,site5,442.64
890,29,3,site5,417.79
891,29,4,site5,428.21
892,29,5,site5,439.65
893,29,6,site5,420.39
894,30,1,site5,431.08
895,30,2,site5,420.97
896,30,3,site5,440.4
897,30,4,site5,433.84
898,30,5,site5,423.78
899,30,6,site5,456.41
900,1,1,site6,424.45
901,1,2,site6,416.36
902,1,3,site6,435.18
903,1,4,site6,407.55
904,1,5,site6,431.47
905,1,6,site6,426.76
906,2,1,site6,472.09
907,2,2,site6,459.14
908,2,3,site6,466.33
909,2,4,site6,466.39
910,2,5,site6,449.53
911,2,6,site6,466.31
912,3,1,site6,441.0
913,3,2,site6,440.85
914,3,3,site6,450.34
915,3,4,site6,402.19
916,3,5,site6,418.39
917,3,6,site6,430.66
918,4,1,site6,410.25
919,4,2,site6,465.31
920,4,3,site6,458.58
921,4,4,site6,458.22
922,4,5,site6,467.13
923,4,6,site6,447.16
924,5,1,site6,458.66
925,5,2,site6,454.16
926,5,3,site6,459.74
927,5,4,site6,463.93
928,5,5,site6,424.25
929,5,6,site6,459.22
930,6,1,site6,444.59
931,6,2,site6,439.84
932,6,3,site6,444.84
933,6,4,site6,397.35
934,6,5,site6,428.41
935,6,6,site6,428.66
936,7,1,site6,419.09
937,7,2,site6,460.7
938,7,3,site6,426.24
939,7,4,site6,454.64
940,7,5,site6,460.83
941,7,6,site6,407.91
942,8,1,site6,463.8
943,8,2,site6,451.09
944,8,3,site6,458.46
945,8,4,site6,462.84
946,8,5,site6,424.06
947,8,6,site6,457.71
948,9,1,site6,446.09
949,9,2,site6,439.15
950,9,3,site6,444.68
951,9,4,site6,368.74
952,9,5,site6,415.1
953,9,6,site6,444.88
954,10,1,site6,423.89
955,10,2,site6,462.06
956,10,3,site6,434.81
957,10,4,site6,455.38
958,10,5,site6,441.41
959,10,6,site6,432.84
960,11,1,site6,460.05
961,11,2,site6,452.19
962,11,3,site6,454.44
963,11,4,site6,458.06
964,11,5,site6,434.1
965,11,6,site6,455.24
966,12,1,site6,448.51
967,12,2,site6,441.64
968,12,3,site6,447.96
969,12,4,site6,409.75
970,12,5,site6,432.81
971,12,6,site6,441.26
972,13,1,site6,434.43
973,13,2,site6,451.46
974,13,3,site6,440.45
975,13,4,site6,442.09
976,13,5,site6,447.36
977,13,6,site6,432.49
978,14,1,site6,451.72
979,14,2,site6,439.9
980,14,3,site6,445.6
981,14,4,site6,449.7
982,14,5,site6,431.79
983,14,6,site6,443.56
984,15,1,site6,444.79
985,15,2,site6,441.08
986,15,3,site6,443.84
987,15,4,site6,404.01
988,15,5,site6,435.85
989,15,6,site6,438.29
990,16,1,site6,427.36
991,16,2,site6,438.11
992,16,3,site6,424.35
993,16,4,site6,412.31
994,16,5,site6,429.28
995,16,6,site6,414.35
996,17,1,site6,461.78
997,17,2,site6,452.13
998,17,3,site6,453.05
999,17,4,site6,461.49
1000,17,5,site6,442.28
1001,17,6,site6,451.88
1002,18,1,site6,427.13
1003,18,2,site6,439.22
1004,18,3,site6,438.86
1005,18,4,site6,396.68
1006,18,5,site6,425.16
1007,18,6,site6,442.05
1008,19,1,site6,461.05
1009,19,2,site6,453.19
1010,19,3,site6,455.44
1011,19,4,site6,459.06
1012,19,5,site6,435.1
1013,19,6,site6,456.24
1014,20,1,site6,449.51
1015,20,2,site6,442.64
1016,20,3,site6,448.96
1017,20,4,site6,410.75
1018,20,5,site6,433.81
1019,20,6,site6,442.26
1020,21,1,site6,431.43
1021,21,2,site6,448.46
1022,21,3,site6,437.45
1023,21,4,site6,439.09
1024,21,5,site6,444.36
1025,21,6,site6,429.49
1026,22,1,site6,422.56
1027,22,2,site6,444.65
1028,22,3,site6,435.84
1029,22,4,site6,435.19
1030,22,5,site6,441.68
1031,22,6,site6,416.28
1032,23,1,site6,443.72
1033,23,2,site6,431.9
1034,23,3,site6,437.6
1035,23,4,site6,441.7
1036,23,5,site6,423.79
1037,23,6,site6,435.56
1038,24,1,site6,418.91
1039,24,2,site6,448.88
1040,24,3,site6,440.49
1041,24,4,site6,439.9
1042,24,5,site6,440.59
1043,24,6,site6,417.14
1044,25,1,site6,424.35
1045,25,2,site6,447.85
1046,25,3,site6,437.54
1047,25,4,site6,430.71
1048,25,5,site6,443.43
1049,25,6,site6,421.7
1050,26,1,site6,454.55
1051,26,2,site6,435.7
1052,26,3,site6,441.14
1053,26,4,site6,445.13
1054,26,5,site6,422.54
1055,26,6,site6,439.54
1056,27,1,site6,448.89
1057,27,2,site6,439.78
1058,27,3,site6,446.56
1059,27,4,site6,429.43
1060,27,5,site6,439.16
1061,27,6,site6,444.05
1062,28,1,site6,432.45
1063,28,2,site6,448.58
1064,28,3,site6,434.41
1065,28,4,site6,437.7
1066,28,5,site6,443.26
1067,28,6,site6,425.9
1068,29,1,site6,449.66
1069,29,2,site6,430.28
1070,29,3,site6,435.72
1071,29,4,site6,444.94
1072,29,5,site6,419.0
1073,29,6,site6,439.59
1074,30,1,site6,442.59
1075,30,2,site6,439.04
1076,30,3,site6,407.96
1077,30,4,site6,444.51
1078,30,5,site6,439.47
1079,30,6,site6,441.31
1080,1,1,site7,422.03
1081,1,2,site7,412.58
1082,1,3,site7,432.24
1083,1,4,site7,436.78
1084,1,5,site7,442.8
1085,1,6,site7,413.68
1086,2,1,site7,436.04
1087,2,2,site7,436.73
1088,2,3,site7,427.9
1089,2,4,site7,425.27
1090,2,5,site7,437.08
1091,2,6,site7,434.04
1092,3,1,site7,413.1
1093,3,2,site7,402.69
1094,3,3,site7,408.32
1095,3,4,site7,401.43
1096,3,5,site7,391.57
1097,3,6,site7,395.03
1098,4,1,site7,395.08
1099,4,2,site7,423.71
1100,4,3,site7,430.58
1101,4,4,site7,422.34
1102,4,5,site7,427.85
1103,4,6,site7,424.65
1104,5,1,site7,424.23
1105,5,2,site7,433.71
1106,5,3,site7,424.25
1107,5,4,site7,420.32
1108,5,5,site7,419.87
1109,5,6,site7,434.09
1110,6,1,site7,422.58
1111,6,2,site7,410.29
1112,6,3,site7,411.5
1113,6,4,site7,394.79
1114,6,5,site7,405.69
1115,6,6,site7,403.82
1116,7,1,site7,411.57
1117,7,2,site7,425.62
1118,7,3,site7,415.75
1119,7,4,site7,422.33
1120,7,5,site7,425.05
1121,7,6,site7,410.07
1122,8,1,site7,426.19
1123,8,2,site7,434.68
1124,8,3,site7,426.57
1125,8,4,site7,422.85
1126,8,5,site7,422.62
1127,8,6,site7,428.74
1128,9,1,site7,416.4
1129,9,2,site7,405.34
1130,9,3,site7,409.57
1131,9,4,site7,370.29
1132,9,5,site7,391.87
1133,9,6,site7,409.74
1134,10,1,site7,411.68
1135,10,2,site7,431.84
1136,10,3,site7,425.93
1137,10,4,site7,427.6
1138,10,5,site7,414.21
1139,10,6,site7,420.88
1140,11,1,site7,421.4
1141,11,2,site7,428.79
1142,11,3,site7,418.88
1143,11,4,site7,416.98
1144,11,5,site7,421.6
1145,11,6,site7,433.28
1146,12,1,site7,419.84
1147,12,2,site7,410.13
1148,12,3,site7,412.04
1149,12,4,site7,401.69
1150,12,5,site7,410.09
1151,12,6,site7,410.96
1152,13,1,site7,419.2
1153,13,2,site7,418.08
1154,13,3,site7,420.1
1155,13,4,site7,415.73
1156,13,5,site7,418.13
1157,13,6,site7,422.29
1158,14,1,site7,422.79
1159,14,2,site7,425.54
1160,14,3,site7,419.55
1161,14,4,site7,419.28
1162,14,5,site7,425.09
1163,14,6,site7,422.45
1164,15,1,site7,417.03
1165,15,2,site7,413.25
1166,15,3,site7,411.46
1167,15,4,site7,392.04
1168,15,5,site7,412.57
1169,15,6,site7,410.83
1170,16,1,site7,425.17
1171,16,2,site7,466.96
1172,16,3,site7,454.45
1173,16,4,site7,438.0
1174,16,5,site7,440.9
1175,16,6,site7,433.29
1176,17,1,site7,426.08
1177,17,2,site7,427.99
1178,17,3,site7,422.82
1179,17,4,site7,421.64
1180,17,5,site7,425.98
1181,17,6,site7,426.35
1182,18,1,site7,421.89
1183,18,2,site7,408.2
1184,18,3,site7,407.02
1185,18,4,site7,374.74
1186,18,5,site7,400.0
1187,18,6,site7,409.62
1188,19,1,site7,422.41
1189,19,2,site7,429.8
1190,19,3,site7,419.89
1191,19,4,site7,417.99
1192,19,5,site7,422.61
1193,19,6,site7,434.29
1194,20,1,site7,420.85
1195,20,2,site7,411.14
1196,20,3,site7,413.05
1197,20,4,site7,402.7
1198,20,5,site7,411.1
1199,20,6,site7,411.97
1200,21,1,site7,416.21
1201,21,2,site7,415.09
1202,21,3,site7,417.11
1203,21,4,site7,412.74
1204,21,5,site7,415.14
1205,21,6,site7,419.3
1206,22,1,site7,404.8
1207,22,2,site7,408.4
1208,22,3,site7,411.28
1209,22,4,site7,400.86
1210,22,5,site7,410.19
1211,22,6,site7,386.55
1212,23,1,site7,414.8
1213,23,2,site7,417.55
1214,23,3,site7,411.56
1215,23,4,site7,411.29
1216,23,5,site7,417.1
1217,23,6,site7,414.46
1218,24,1,site7,402.18
1219,24,2,site7,415.16
1220,24,3,site7,418.34
1221,24,4,site7,411.71
1222,24,5,site7,406.94
1223,24,6,site7,398.58
1224,25,1,site7,406.26
1225,25,2,site7,409.65
1226,25,3,site7,415.28
1227,25,4,site7,405.34
1228,25,5,site7,410.96
1229,25,6,site7,405.16
1230,26,1,site7,415.06
1231,26,2,site7,414.18
1232,26,3,site7,407.75
1233,26,4,site7,404.99
1234,26,5,site7,405.96
1235,26,6,site7,418.5
1236,27,1,site7,426.97
1237,27,2,site7,409.21
1238,27,3,site7,412.18
1239,27,4,site7,428.87
1240,27,5,site7,413.69
1241,27,6,site7,414.35
1242,28,1,site7,411.81
1243,28,2,site7,410.89
1244,28,3,site7,411.31
1245,28,4,site7,406.54
1246,28,5,site7,412.84
1247,28,6,site7,415.24
1248,29,1,site7,412.68
1249,29,2,site7,413.59
1250,29,3,site7,403.34
1251,29,4,site7,407.84
1252,29,5,site7,406.59
1253,29,6,site7,419.21
1254,30,1,site7,411.45
1255,30,2,site7,414.16
1256,30,3,site7,393.33
1257,30,4,site7,414.4
1258,30,5,site7,412.1
1259,30,6,site7,429.44
1260,1,1,site8,418.15
1261,1,2,site8,404.41
1262,1,3,site8,419.77
1263,1,4,site8,418.26
1264,1,5,site8,431.0
1265,1,6,site8,410.85
1266,2,1,site8,426.16
1267,2,2,site8,439.6
1268,2,3,site8,425.62
1269,2,4,site8,427.35
1270,2,5,site8,425.37
1271,2,6,site8,428.55
1272,3,1,site8,412.47
1273,3,2,site8,408.5
1274,3,3,site8,408.12
1275,3,4,site8,400.39
1276,3,5,site8,395.4
1277,3,6,site8,402.6
1278,4,1,site8,399.64
1279,4,2,site8,430.54
1280,4,3,site8,429.95
1281,4,4,site8,421.06
1282,4,5,site8,421.77
1283,4,6,site8,425.72
1284,5,1,site8,423.8
1285,5,2,site8,432.79
1286,5,3,site8,423.92
1287,5,4,site8,422.11
1288,5,5,site8,417.79
1289,5,6,site8,425.31
1290,6,1,site8,413.36
1291,6,2,site8,409.62
1292,6,3,site8,410.2
1293,6,4,site8,401.79
1294,6,5,site8,402.16
1295,6,6,site8,405.09
1296,7,1,site8,401.48
1297,7,2,site8,427.89
1298,7,3,site8,420.15
1299,7,4,site8,418.94
1300,7,5,site8,417.47
1301,7,6,site8,409.92
1302,8,1,site8,421.95
1303,8,2,site8,432.84
1304,8,3,site8,423.6
1305,8,4,site8,423.34
1306,8,5,site8,416.44
1307,8,6,site8,423.54
1308,9,1,site8,412.61
1309,9,2,site8,407.77
1310,9,3,site8,407.97
1311,9,4,site8,388.05
1312,9,5,site8,396.26
1313,9,6,site8,407.16
1314,10,1,site8,407.6
1315,10,2,site8,424.1
1316,10,3,site8,420.32
1317,10,4,site8,415.97
1318,10,5,site8,414.31
1319,10,6,site8,418.57
1320,11,1,site8,415.81
1321,11,2,site8,429.56
1322,11,3,site8,418.4
1323,11,4,site8,417.92
1324,11,5,site8,412.56
1325,11,6,site8,417.11
1326,12,1,site8,417.48
1327,12,2,site8,414.23
1328,12,3,site8,412.82
1329,12,4,site8,408.61
1330,12,5,site8,406.98
1331,12,6,site8,409.95
1332,13,1,site8,409.6
1333,13,2,site8,422.27
1334,13,3,site8,420.57
1335,13,4,site8,412.29
1336,13,5,site8,411.76
1337,13,6,site8,413.5
1338,14,1,site8,421.64
1339,14,2,site8,429.97
1340,14,3,site8,420.41
1341,14,4,site8,420.37
1342,14,5,site8,417.41
1343,14,6,site8,418.36
1344,15,1,site8,417.85
1345,15,2,site8,413.11
1346,15,3,site8,413.09
1347,15,4,site8,410.05
1348,15,5,site8,405.34
1349,15,6,site8,410.22
1350,16,1,site8,412.95
1351,16,2,site8,434.31
1352,16,3,site8,442.59
1353,16,4,site8,456.89
1354,16,5,site8,448.79
1355,16,6,site8,438.92
1356,17,1,site8,424.12
1357,17,2,site8,433.1
1358,17,3,site8,424.98
1359,17,4,site8,424.12
1360,17,5,site8,425.71
1361,17,6,site8,425.29
1362,18,1,site8,418.51
1363,18,2,site8,412.17
1364,18,3,site8,410.16
1365,18,4,site8,409.32
1366,18,5,site8,400.95
1367,18,6,site8,410.16
1368,19,1,site8,416.79
1369,19,2,site8,430.54
1370,19,3,site8,419.38
1371,19,4,site8,418.9
1372,19,5,site8,413.54
1373,19,6,site8,418.09
1374,20,1,site8,418.46
1375,20,2,site8,415.21
1376,20,3,site8,413.8
1377,20,4,site8,409.59
1378,20,5,site8,407.96
1379,20,6,site8,410.93
1380,21,1,site8,407.59
1381,21,2,site8,420.26
1382,21,3,site8,418.56
1383,21,4,site8,410.28
1384,21,5,site8,409.75
1385,21,6,site8,411.49
1386,22,1,site8,409.55
1387,22,2,site8,417.79
1388,22,3,site8,414.46
1389,22,4,site8,414.5
1390,22,5,site8,408.69
1391,22,6,site8,414.95
1392,23,1,site8,414.63
1393,23,2,site8,422.96
1394,23,3,site8,413.4
1395,23,4,site8,413.36
1396,23,5,site8,410.4
1397,23,6,site8,411.35
1398,24,1,site8,406.84
1399,24,2,site8,421.28
1400,24,3,site8,418.26
1401,24,4,site8,410.56
1402,24,5,site8,408.44
1403,24,6,site8,409.09
1404,25,1,site8,410.93
1405,25,2,site8,418.15
1406,25,3,site8,436.9
1407,25,4,site8,404.18
1408,25,5,site8,408.54
1409,25,6,site8,409.81
1410,26,1,site8,416.16
1411,26,2,site8,421.65
1412,26,3,site8,411.28
1413,26,4,site8,412.44
1414,26,5,site8,407.53
1415,26,6,site8,411.79
1416,27,1,site8,422.84
1417,27,2,site8,414.19
1418,27,3,site8,414.29
1419,27,4,site8,431.39
1420,27,5,site8,407.16
1421,27,6,site8,413.09
1422,28,1,site8,413.26
1423,28,2,site8,420.65
1424,28,3,site8,414.83
1425,28,4,site8,408.38
1426,28,5,site8,408.64
1427,28,6,site8,408.51
1428,29,1,site8,418.72
1429,29,2,site8,419.13
1430,29,3,site8,409.39
1431,29,4,site8,411.8
1432,29,5,site8,406.74
1433,29,6,site8,409.83
1434,30,1,site8,412.31
1435,30,2,site8,408.53
1436,30,3,site8,409.9
1437,30,4,site8,416.46
1438,30,5,site8,417.39
1439,30,6,site8,423.61
1440,1,1,site9,540.14
1441,1,2,site9,526.4
1442,1,3,site9,541.76
1443,1,4,site9,540.25
1444,1,5,site9,552.99
1445,1,6,site9,532.84
1446,2,1,site9,548.15
1447,2,2,site9,561.59
1448,2,3,site9,547.61
1449,2,4,site9,549.34
1450,2,5,site9,547.36
1451,2,6,site9,550.54
1452,3,1,site9,534.46
1453,3,2,site9,530.49
1454,3,3,site9,530.11
1455,3,4,site9,522.38
1456,3,5,site9,517.39
1457,3,6,site9,524.59
1458,4,1,site9,521.63
1459,4,2,site9,552.53
1460,4,3,site9,551.94
1461,4,4,site9,543.05
1462,4,5,site9,543.76
1463,4,6,site9,547.71
1464,5,1,site9,545.79
1465,5,2,site9,554.78
1466,5,3,site9,545.91
1467,5,4,site9,544.1
1468,5,5,site9,539.78
1469,5,6,site9,547.3
1470,6,1,site9,535.35
1471,6,2,site9,531.61
1472,6,3,site9,532.19
1473,6,4,site9,523.78
1474,6,5,site9,524.15
1475,6,6,site9,527.08
1476,7,1,site9,523.47
1477,7,2,site9,549.88
1478,7,3,site9,542.14
1479,7,4,site9,540.93
1480,7,5,site9,539.46
1481,7,6,site9,531.91
1482,8,1,site9,543.94
1483,8,2,site9,554.83
1484,8,3,site9,545.59
1485,8,4,site9,545.33
1486,8,5,site9,538.43
1487,8,6,site9,545.53
1488,9,1,site9,534.6
1489,9,2,site9,529.76
1490,9,3,site9,529.96
1491,9,4,site9,510.04
1492,9,5,site9,518.25
1493,9,6,site9,529.15
1494,10,1,site9,529.59
1495,10,2,site9,546.09
1496,10,3,site9,542.31
1497,10,4,site9,537.96
1498,10,5,site9,536.3
1499,10,6,site9,540.56
1500,11,1,site9,537.8
1501,11,2,site9,551.55
1502,11,3,site9,540.39
1503,11,4,site9,539.91
1504,11,5,site9,534.55
1505,11,6,site9,539.1
1506,12,1,site9,539.47
1507,12,2,site9,536.22
1508,12,3,site9,534.81
1509,12,4,site9,530.6
1510,12,5,site9,528.97
1511,12,6,site9,531.94
1512,13,1,site9,531.59
1513,13,2,site9,544.26
1514,13,3,site9,542.56
1515,13,4,site9,534.28
1516,13,5,site9,533.75
1517,13,6,site9,535.49
1518,14,1,site9,543.63
1519,14,2,site9,551.96
1520,14,3,site9,542.4
1521,14,4,site9,542.36
1522,14,5,site9,539.4
1523,14,6,site9,540.35
1524,15,1,site9,539.84
1525,15,2,site9,535.1
1526,15,3,site9,535.08
1527,15,4,site9,532.04
1528,15,5,site9,527.33
1529,15,6,site9,532.21
1530,16,1,site9,534.94
1531,16,2,site9,556.3
1532,16,3,site9,564.58
1533,16,4,site9,578.88
1534,16,5,site9,570.78
1535,16,6,site9,560.91
1536,17,1,site9,546.11
1537,17,2,site9,555.09
1538,17,3,site9,546.97
1539,17,4,site9,546.11
1540,17,5,site9,547.7
1541,17,6,site9,547.28
1542,18,1,site9,540.5
1543,18,2,site9,534.16
1544,18,3,site9,532.15
1545,18,4,site9,531.31
1546,18,5,site9,522.94
1547,18,6,site9,532.15
1548,19,1,site9,537.8
1549,19,2,site9,551.55
1550,19,3,site9,540.39
1551,19,4,site9,539.91
1552,19,5,site9,534.55
1553,19,6,site9,539.1
1554,20,1,site9,539.47
1555,20,2,site9,536.22
1556,20,3,site9,534.81
1557,20,4,site9,530.6
1558,20,5,site9,528.97
1559,20,6,site9,531.94
1560,21,1,site9,531.59
1561,21,2,site9,544.26
1562,21,3,site9,542.56
1563,21,4,site9,534.28
1564,21,5,site9,533.75
1565,21,6,site9,535.49
1566,22,1,site9,529.55
1567,22,2,site9,538.8
1568,22,3,site9,534.46
1569,22,4,site9,534.5
1570,22,5,site9,528.69
1571,22,6,site9,534.95
1572,23,1,site9,543.63
1573,23,2,site9,551.96
1574,23,3,site9,542.4
1575,23,4,site9,542.36
1576,23,5,site9,539.4
1577,23,6,site9,540.35
1578,24,1,site9,526.84
1579,24,2,site9,541.28
1580,24,3,site9,538.26
1581,24,4,site9,530.56
1582,24,5,site9,528.44
1583,24,6,site9,529.09
1584,25,1,site9,530.93
1585,25,2,site9,538.15
1586,25,3,site9,556.9
1587,25,4,site9,524.18
1588,25,5,site9,528.54
1589,25,6,site9,529.81
1590,26,1,site9,536.16
1591,26,2,site9,541.65
1592,26,3,site9,531.28
1593,26,4,site9,532.44
1594,26,5,site9,527.53
1595,26,6,site9,531.79
1596,27,1,site9,542.84
1597,27,2,site9,534.19
1598,27,3,site9,534.29
1599,27,4,site9,551.39
1600,27,5,site9,527.16
1601,27,6,site9,533.09
1602,28,1,site9,533.26
1603,28,2,site9,540.65
1604,28,3,site9,534.83
1605,28,4,site9,528.38
1606,28,5,site9,528.64
1607,28,6,site9,528.51
1608,29,1,site9,538.72
1609,29,2,site9,539.13
1610,29,3,site9,529.39
1611,29,4,site9,531.8
1612,29,5,site9,526.74
1613,29,6,site9,529.83
1614,30,1,site9,532.31
1615,30,2,site9,528.53
1616,30,3,site9,529.9
1617,30,4,site9,536.46
1618,30,5,site9,537.39
1619,30,6,site9,543.61
